"contactId","warmOppCount","soOppCount","warmOppIds","soOppIds","company"
"Z2xXnzQlc71YdDLLpZy1","1","1","dK42ESfLK0nDfuEBpHOV","AUkxCLEEkLiMgcIKknXF","The Green Solution"
"CqFxcLCX2XxtOddjhlUD","1","1","yW1h0thzJnmlgoBikto7","tTWeccwPqjxPtBxitvoT","Sundial Growers Inc. (SNDL)"
"wHrK8uTQSiJ9C3iP4mB1","1","1","7m2p8s7X1YUqOYjN2m5t","EYwOAhpAg8N3IhZxfEv0",""
"6vhpIRCfiSTMf4xdOHZG","1","1","MnfOJJ75Jrb2kSBsFLbX","8EyFew1A518LcULe8uYl","Curaleaf - Western Ave"
"EbRr0Waey3E7LoDCD8E0","1","1","tPA0hEPpdNsqvFAATYaw","fqYYE4Z9bOgEcFID6zmI","Cannabist"
"6FDhfFLMum1THCGKXq9e","1","1","hvrJtksQ7tSJEfEdZ2LI","GvKPzsK0uZfjPAqo1DB9","Left Coast Holdings"
"a9tl9T1EZi9vvfDC8Sdf","1","1","y1YuikjhvAx05wLHCAla","iG32atm017sPOfCXssr2",""
"p4lP45MQplmn6rgU05UP","1","1","n1l8k5T24cCFIBNmlO4T","BFYuNYASXoPAvcFzdtqZ","Cornbread Hemp"
"oNHRv84hLeHAyXQnWTyy","1","1","I4CpEA27e94ZbGSm1VzJ","zFdVtQ4ZyJMilfvpIsK8","Cannabist Co Holdings, Inc."
"s3c7ouh2uv2jphVosWZm","1","1","VJOqQEAYvyCALmWGaSNB","wg64WAj9YdYZjlD8ZTDX","Trulieve"
"M7U5wmXen1UkmQWq80iM","1","1","LORFDa4AaIGWvdzDDNsN","LMU5tr7OLu7UxKsvyJX5","Cv Sciences Inc"
"yBXvUcQusipJlALgP74p","1","1","ckEiO6mc3gUpKF6njqMp","8EyeW0DahrcqoqLMivsa","Cookies"
"xTOEDsskPa9usH5IL9ks","1","1","84F4QI98tIup7AradskJ","Ob9Ep7m5fO5gkinLMRLL","ProMach Inc."
"s6hxL5gs893bMq5ZGkcN","1","1","lHo3zWiNL9bDf8eDW25j","MAWkpYaQyRESzpUvjjtf","FIKA - Port Carling"
"RmdU7nY2JHD5YjBfwsQe","1","1","2vBndBlNWe2lUwRm3u15","gPWizJFUZS73rQxP2yWk","Heavy Hitters"
"3FcIuSEXrzZHpmSci5nS","1","1","0jijFOnyxnrGuLxcNDWO","9iOOnW9KANOMhWNQGn3m","Lucca Interiors"
"NBKFTPr3fZY9MaybDGli","1","1","6kT8LIewuXY2W0taa0AX","2R9C8y8BWrudvtO5BMIV","Metrc"
"KW7uzVW5h3XMp2oTpnBM","1","1","UAf23Z4yVO4IHTc0k0JH","iRv9eYSekeZYja3F1tka","Analytics Labs"
"1Y92hNbfDtCGslcH0gaj","1","1","8lZKpzfHYl5hr7FS2Vnd","Bk4UCu9seYDjwTpivDWH","Pistol and Paris"
"V6YAMhFgT3uDuyek9P9S","1","1","R3sr1Z4vprYpvjxMsNhj","jzYNkWHhuyGOfThd1Zbm","MMD SHOPS"
"aSvXivAVaYbiKwjzRck7","1","1","cONloc3AW8ESsa8iEDK7","3eh8x9bHqCgnMshakRwy","Greenlight Dispensary"
"SHAUhb5oYHPpc8zCbxoJ","1","1","4ORKdpWqbn88hV31sE77","kDTTOqw7HCRPgmErzNZY","Curaleaf Holdings"
"PL8alCxC27wNC1yCaUDp","1","1","R16SL4sOQpzWUo6tpqWb","v7ZJJF5qc3ELiDPjyIX3","Canopy USA"
